"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Purushottampur","WS_AP/PRS/2021-22/2172254","CONNECTION_ACTIVATED","WS/PRS/2094279","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172257","CONNECTION_ACTIVATED","WS/PRS/2093658","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172244","CONNECTION_ACTIVATED","WS/PRS/2097031","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172260","CONNECTION_ACTIVATED","WS/PRS/2093899","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172246","CONNECTION_ACTIVATED","WS/PRS/2096543","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172267","CONNECTION_ACTIVATED","WS/PRS/2096588","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172270","CONNECTION_ACTIVATED","WS/PRS/2093902","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172273","CONNECTION_ACTIVATED","WS/PRS/2096239","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172275","CONNECTION_ACTIVATED","WS/PRS/2094524","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172290","CONNECTION_ACTIVATED","WS/PRS/2094078","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172272","CONNECTION_ACTIVATED","WS/PRS/2093718","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172293","CONNECTION_ACTIVATED","WS/PRS/2096133","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172301","CONNECTION_ACTIVATED","WS/PRS/2094141","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172284","CONNECTION_ACTIVATED","WS/PRS/2094259","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172287","CONNECTION_ACTIVATED","WS/PRS/2094595","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172307","CONNECTION_ACTIVATED","WS/PRS/2096098","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172295","CONNECTION_ACTIVATED","WS/PRS/2096904","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172299","CONNECTION_ACTIVATED","WS/PRS/2096517","2022-01-12","2022-01-12","Modify Connection"
