root@kafka-v2-0:/# kafka-consumer-groups --bootstrap-server  kafka-v2.kafka-cluster:9092 --group egov-infra-persist  -describe

TOPIC                               PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                     HOST            CLIENT-ID
update-pg-txns-dump                 0          1749            1749            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-fsm-workflow-application     2          234             234             0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
update-user-events                  2          0               0               0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
save-sw-filestoreids                2          0               0               0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
update-tl-adhoc-tradelicense        2          0               0               0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
save-apportion-response             2          0               0               0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
save-plant-map-application          2          0               0               0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
update-pt-property                  2          0               0               0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
update-pt-assessment                2          504             504             0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
save-pgr-service                    2          62              62              0               consumer-1-a73555f4-49b7-4a3c-b5fa-a6b48d4e3108 /10.42.5.109    consumer-1
